purchase_date,total_price_per_order,num_items_per_order,avg_price_per_item,freight_value,final_price_per_order,purchase_day,purchase_month,purchase_year
2016-09-15,405.0,9,135.0,8.489999771118164,413.48999977111816,15,9,2016
2016-10-03,390.20000000000005,5,390.20000000000005,84.80000114440918,475.0000011444092,3,10,2016
2016-10-04,7386.0,66,5710.2,874.4099988937378,8260.409998893738,4,10,2016
2016-10-05,5410.900000000001,61,3224.6,647.6199994087219,6058.519999408722,5,10,2016
2016-10-06,5667.2,40,4647.8,600.8800010681152,6268.080001068115,6,10,2016
2016-10-07,5899.8,41,4930.6,558.7900009155273,6458.5900009155275,7,10,2016
2016-10-08,4511.8,41,3654.8,628.1100120544434,5139.9100120544435,8,10,2016
2016-10-09,900.5,11,900.5,181.80999755859375,1082.3099975585938,9,10,2016
2016-10-10,2143.2,28,2023.4,536.0500049591064,2679.2500049591063,10,10,2016
2016-12-23,10.9,1,10.9,8.720000267028809,19.620000267028807,23,12,2016
2017-01-05,286.1,20,286.1,199.93000411987305,486.030004119873,5,1,2017
2017-01-06,280.4,3,280.4,41.1899995803833,321.5899995803833,6,1,2017
2017-01-07,1779.9,6,981.9,76.66000080108643,1856.5600008010865,7,1,2017
2017-01-08,198.9,2,198.9,27.06999969482422,225.96999969482422,8,1,2017
2017-01-09,596.8,4,596.8,69.60000133514404,666.400001335144,9,1,2017
2017-01-10,1434.9,6,1434.9,136.30000019073486,1571.200000190735,10,1,2017
2017-01-11,946.9,5,946.9,122.35000228881836,1069.2500022888185,11,1,2017
2017-01-12,1267.2,11,944.2,157.38000011444092,1424.580000114441,12,1,2017
2017-01-13,1841.9,6,1841.9,194.25000190734863,2036.1500019073487,13,1,2017
2017-01-14,561.9,10,561.9,196.85000133514404,758.750001335144,14,1,2017
2017-01-15,674.4,10,653.4,123.52000045776367,797.9200004577636,15,1,2017
2017-01-16,4223.8,36,2855.2,342.6799998283386,4566.479999828339,16,1,2017
2017-01-17,2150.5,20,2128.5,292.79000186920166,2443.2900018692017,17,1,2017
2017-01-18,2509.4,30,2360.0,457.7200002670288,2967.120000267029,18,1,2017
2017-01-19,4015.7,43,2642.7,373.27000522613525,4388.970005226135,19,1,2017
2017-01-20,3639.1,48,2380.0,382.85000133514404,4021.950001335144,20,1,2017
2017-01-21,2325.9,22,1306.4,284.55999755859375,2610.459997558594,21,1,2017
2017-01-22,3049.6,25,2811.6,345.59000301361084,3395.1900030136107,22,1,2017
2017-01-23,6179.099999999999,57,4815.1,694.6699981689453,6873.769998168946,23,1,2017
2017-01-24,2739.9,27,2659.9,459.1100044250488,3199.010004425049,24,1,2017
2017-01-25,5168.5,74,4328.5,741.580002784729,5910.080002784729,25,1,2017
2017-01-26,7925.6,75,7067.1,1113.8999984264374,9039.499998426438,26,1,2017
2017-01-27,7312.1,63,6425.5,789.5299968719482,8101.629996871949,27,1,2017
2017-01-28,2985.0,20,2925.0,356.0,3341.0,28,1,2017
2017-01-29,5855.3,61,4375.3,404.99999952316284,6260.299999523163,29,1,2017
2017-01-30,7380.900000000001,47,6902.9,764.0,8144.900000000001,30,1,2017
2017-01-31,5966.0,59,4844.8,767.4800024032593,6733.480002403259,31,1,2017
2017-02-01,4747.8,37,4747.8,707.6300086975098,5455.43000869751,1,2,2017
2017-02-02,6434.2,60,5845.2,1052.25,7486.45,2,2,2017
2017-02-03,7211.1,45,6931.5,835.25,8046.35,3,2,2017
2017-02-04,6814.1,58,5784.3,1037.159999370575,7851.259999370575,4,2,2017
2017-02-05,6052.4,60,5527.8,1071.4700067043304,7123.87000670433,5,2,2017
2017-02-06,7099.6,65,6903.2,1067.5600032806396,8167.16000328064,6,2,2017
2017-02-07,13532.8,116,10264.4,1639.3900065422058,15172.190006542205,7,2,2017
2017-02-08,9218.4,70,8438.8,1311.6299982070923,10530.029998207092,8,2,2017
2017-02-09,6666.3,57,6086.5,1083.760009765625,7750.060009765625,9,2,2017
2017-02-10,11500.4,67,10372.3,932.6899948120117,12433.089994812011,10,2,2017
2017-02-11,3114.5,46,2456.3,599.5000056028366,3714.0000056028366,11,2,2017
2017-02-12,6434.2,48,6256.4,912.1600027084351,7346.360002708435,12,2,2017
2017-02-13,7749.7,87,6094.1,1456.4000024795532,9206.100002479554,13,2,2017
2017-02-14,10594.1,74,7807.7,1056.9600048065186,11651.060004806519,14,2,2017
2017-02-15,4197.7,46,4028.2,770.8700070381165,4968.570007038116,15,2,2017
2017-02-16,3465.6,38,3146.2,624.019998550415,4089.619998550415,16,2,2017
2017-02-17,6270.8,51,4286.2,793.7100038528442,7064.510003852844,17,2,2017
2017-02-18,8365.3,70,5159.5,713.9399967193604,9079.23999671936,18,2,2017
2017-02-19,1918.7,32,1641.7,379.22000217437744,2297.9200021743773,19,2,2017
2017-02-20,4848.4,57,4079.8,771.3099966049194,5619.709996604919,20,2,2017
2017-02-21,2226.6,31,1941.4,468.370005607605,2694.970005607605,21,2,2017
2017-02-22,5371.1,58,4547.9,879.8399985134602,6250.9399985134605,22,2,2017
2017-02-23,4805.6,57,4297.4,897.0100049972534,5702.610004997254,23,2,2017
2017-02-24,6456.3,81,4943.5,941.3000049591064,7397.600004959107,24,2,2017
2017-02-25,4662.400000000001,49,2985.6,629.5700006484985,5291.970000648499,25,2,2017
2017-02-26,3792.5,69,3345.9,643.8299989700317,4436.329998970032,26,2,2017
2017-02-27,5849.6,58,4646.4,669.6900005340576,6519.290000534058,27,2,2017
2017-02-28,9121.4,66,7109.5,852.2199964523315,9973.619996452331,28,2,2017
2017-03-01,10500.6,124,9088.800000000001,1466.600001335144,11967.200001335144,1,3,2017
2017-03-02,9405.1,59,8595.4,943.4499969482422,10348.549996948243,2,3,2017
2017-03-03,7899.5,60,7196.9,926.6300001144409,8826.130000114441,3,3,2017
2017-03-04,4990.3,50,4501.3,738.4899997711182,5728.789999771118,4,3,2017
2017-03-05,4166.5,81,3466.9,845.629994392395,5012.129994392395,5,3,2017
2017-03-06,7509.7,118,5943.5,1540.46000289917,9050.16000289917,6,3,2017
2017-03-07,13026.2,151,9425.8,1464.8500146865845,14491.050014686585,7,3,2017
2017-03-08,11899.2,69,11461.0,1253.3300008773804,13152.530000877381,8,3,2017
